dyadno, pptno, onset, duration, condition
1,8,693,1,AO
1,8,698,1,AO
1,8,742,1,AO
1,8,850,1,AO
1,8,889,1,AO
1,8,2002,2,AO
1,8,1482,1,AO
1,8,1608,2,AO
1,8,1989,1,AO
1,8,2746,2,AO
1,9,1743,2,AV
1,9,2338,3,AO
1,9,2344,2,AO
1,9,2365,2,AO
1,9,2623,2,AO
1,9,2922,1,AO
1,9,2924,2,AO
4,14,631,1,AO
4,14,991,1,AO
4,14,1389,1,AO
4,14,1880,2,AO
4,14,2042,2,AO
4,14,2088,4,AO
4,14,2177,3,AO
4,14,2250,2,AO
4,14,2297,2,AO
4,14,2326,1,AO
4,14,2460,2,AV
4,14,2656,2,AV
4,14,2660,2,AV
4,14,2686,2,AV
4,14,2898,2,AV
4,14,3011,1,AV
4,14,3097,3,AV
4,15,631,1,AO
4,15,1238,2,AO
4,15,1238,2,AO
4,15,1680,3,AO
4,15,1809,3,AO
4,15,1846,3,AO
4,15,2643,1,AV
4,15,2670,1,AV
4,15,2736,2,AV
5,16,236,1,AV
5,16,705,1,AV
5,16,1847,2,AO
5,16,2123,2,AO
5,16,719,3,AV
5,16,906,2,AV
5,16,1280,2,AV
5,17,237,2,AV
5,17,300,2,AV
5,17,453,3,AV
5,17,458,2,AV
5,17,512,2,AV
5,17,567,1,AV
5,17,679,2,AV
5,17,735,2,AV
5,17,794,1,AV
5,17,820,2,AV
5,17,1268,2,AV
5,17,1378,2,AV
5,17,1376,1,AV
5,17,1925,3,AO
5,17,2008,2,AO
5,17,2052,3,AO
5,17,2108,3,AO
5,17,225,4,AV
5,17,671,3,AV
5,17,719,3,AV
5,17,1311,3,AV
5,17,1473,2,AO
5,17,1665,3,AO
5,17,1709,3,AO
6,20,513,4,AO
6,20,516,1,AO
6,20,583,3,AO
6,20,574,2,AO
6,20,857,4,AO
6,20,871,4,AO
6,20,877,3,AO
6,20,925,4,AO
6,20,982,3,AO
6,20,1289,2,AO
6,20,1496,4,AO
6,20,504,4,AO
6,20,641,3,AO
6,20,1548,2,AV
6,20,1565,1,AV
6,20,1582,1,AV
6,20,1789,3,AV
6,20,1808,3,AV
6,20,2093,2,AV
6,20,2101,2,AV
6,20,2109,2,AV
6,20,2112,3,AV
6,21,488,2,AO
6,21,494,2,AO
6,21,602,2,AO
6,21,614,3,AO
6,21,954,2,AO
6,21,976,3,AO
6,21,979,4,AO
6,21,1059,2,AO
6,21,1425,4,AO
6,21,1457,2,AO
6,21,644,5,AO
6,21,664,5,AO
6,21,994,3,AO
6,21,1572,1,AV
6,21,1562,1,AV
6,21,1580,2,AV
6,21,1595,2,AV
6,21,1608,1,AV
6,21,1612,1,AV
6,21,1695,3,AV
6,21,1741,2,AV
6,21,1829,3,AV
6,21,1836,3,AV
6,21,1916,2,AV
6,21,1917,1,AV
6,21,2063,2,AV
6,21,2098,2,AV
6,21,2111,3,AV
6,21,2121,1,AV
6,21,2124,1,AV
6,21,2181,1,AV
6,21,2341,2,AV
6,21,2401,2,AV
8,26,1073,2,AO
8,26,1105,2,AO
8,26,1348,2,AO
8,26,1351,2,AO
8,26,1941,2,AO
8,26,2182,2,AV
8,26,2448,2,AV
8,26,967,2,AO
8,26,1094,4,AO
8,26,1359,3,AO
8,26,1942,3,AO
8,26,2160,7,AV
8,26,2203,2,AV
8,26,2433,3,AV
8,27,436,2,AO
8,27,670,3,AO
8,27,689,2,AO
8,27,1111,2,AO
8,27,1119,2,AO
8,27,1906,2,AO
8,27,2179,2,AV
8,27,2390,4,AV
8,27,2793,4,AV
8,27,1327,4,AO
